country_code,country_name_tourism,year,value,indicator,country_name_wdi,EN.POP.DNST,IS.AIR.PSGR,IT.NET.USER.ZS,NY.GDP.MKTP.CD,NY.GDP.MKTP.KD.ZG,NY.GDP.PCAP.CD,SH.MED.BEDS.ZS,SH.XPD.CHEX.PC.CD,SP.DYN.LE00.IN,SP.POP.TOTL
S3,Caribbean small states,2018,19669834.9167994,ST.INT.ARVL,Caribbean small states,11.059856053637,6464701.2419884,,60893234438.5669,1.23105640692125,13815.3265154798,2.54662551622898,797.021394312782,72.2210854022703,4407658.0
B8,Central Europe and the Baltics,2024,,ST.INT.ARVL,Central Europe and the Baltics,,,,2455559190577.36,1.96330552382373,24543.3040551653,,,,100050066.0
B8,Central Europe and the Baltics,2023,,ST.INT.ARVL,Central Europe and the Baltics,,,,2273945434904.28,0.763278131880284,22699.5351734821,,,77.8967836493153,100175859.0
B8,Central Europe and the Baltics,2022,,ST.INT.ARVL,Central Europe and the Baltics,90.5708010536644,,,1956274288914.43,4.03666414212897,19548.6930479638,,1361.14887526443,76.6522987292583,100071871.0
B8,Central Europe and the Baltics,2021,,ST.INT.ARVL,Central Europe and the Baltics,90.6877587931935,30389422.0,,1927940096544.03,6.54607681687429,19239.8185020397,,1406.44098422552,74.7232827859077,100205732.0
B8,Central Europe and the Baltics,2020,,ST.INT.ARVL,Central Europe and the Baltics,91.5975668995432,22490703.181,,1679770251031.92,-3.31536810484134,16595.9352698049,6.38955324784737,1182.57491439171,76.0162701269145,101215763.0
B8,Central Europe and the Baltics,2019,314638365.070248,ST.INT.ARVL,Central Europe and the Baltics,92.1854556712536,69934611.3,,1686042070714.23,4.02671124743459,16551.8488917344,6.40097463346178,1091.75964736167,77.2659141936307,101864274.0
B8,Central Europe and the Baltics,2018,301502122.473578,ST.INT.ARVL,Central Europe and the Baltics,92.3692084301826,62622491.0,,1658215183813.33,5.06413042319313,16245.193864543,6.50734101195659,1054.54636661876,76.9764380835075,102074201.0
V2,Early-demographic dividend,2024,,ST.INT.ARVL,Early-demographic dividend,,,,16021674099781.5,3.58246104129047,4510.25268168449,,,,3552278604.0
V2,Early-demographic dividend,2023,,ST.INT.ARVL,Early-demographic dividend,,,,15147839465127.3,4.61090087002265,4313.64804240795,,,71.7962449795855,3511607650.0
V2,Early-demographic dividend,2022,,ST.INT.ARVL,Early-demographic dividend,104.215136704616,,,14274765147164.7,5.96019460339865,4113.00084852322,,187.714153624307,71.4304552508694,3470644834.0
V2,Early-demographic dividend,2021,,ST.INT.ARVL,Early-demographic dividend,102.970775558914,373606823.428,,12923331307987.7,7.50648140047599,3765.51079786712,,185.036170737778,68.1790994839633,3432026092.0
V2,Early-demographic dividend,2020,,ST.INT.ARVL,Early-demographic dividend,101.937460447807,289010892.017,,11039712538107.1,-4.2153043663299,3250.74974734387,1.61958253170785,162.009466846697,69.8801308490982,3396051187.0
V2,Early-demographic dividend,2019,369336988.869679,ST.INT.ARVL,Early-demographic dividend,100.705896897962,734632530.410995,,11887904124496.5,2.38719124728406,3543.32390703605,1.48203804929998,159.607867252258,70.8424064605001,3355014793.0
V2,Early-demographic dividend,2018,350576700.187856,ST.INT.ARVL,Early-demographic dividend,99.4817619661395,741133708.202807,,11652111473280.5,3.84109765418582,3515.76621670583,1.49506665970238,160.314529579211,70.5486659921504,3314245247.0
Z4,East Asia & Pacific,2024,,ST.INT.ARVL,East Asia & Pacific,,,79.6,31882663454356.9,3.89459315089529,13349.0833109152,,,,2388378491.0
Z4,East Asia & Pacific,2023,,ST.INT.ARVL,East Asia & Pacific,,,77.5,31279384293039.7,4.1939549505956,13117.90954458,,,76.6595183258032,2384479340.0
Z4,East Asia & Pacific,2022,,ST.INT.ARVL,East Asia & Pacific,97.335244772577,,75.4,31135994741903.4,2.99047159522472,13084.2848090909,,837.62284554189,76.6767834400676,2379648196.0
Z4,East Asia & Pacific,2021,,ST.INT.ARVL,East Asia & Pacific,97.0062255590139,632631258.508,72.6,31548481959790.6,6.33973583534441,13282.7636699758,,879.237648700468,76.1530093756951,2375144416.0
Z4,East Asia & Pacific,2020,,ST.INT.ARVL,East Asia & Pacific,96.8326589374524,673223022.999,68.5,27474338351594.1,-0.0541286733685524,11595.2940923559,4.71542794107052,793.628342680854,76.5434376080231,2369438682.0
Z4,East Asia & Pacific,2019,490804002.09165,ST.INT.ARVL,East Asia & Pacific,96.4384403820969,1415410517.3106,63.5,27322078215458.3,4.04372924529717,11578.2748298091,4.56421809268166,755.048841346782,76.586261929345,2359771090.0
Z4,East Asia & Pacific,2018,480202482.119432,ST.INT.ARVL,East Asia & Pacific,95.9404015370252,1363722227.08479,58.8,26749413596913.5,4.7843128392733,11394.4809001741,4.4105904194269,723.444630761637,76.3914229383171,2347576325.0
4E,East Asia & Pacific (excluding high income),2024,,ST.INT.ARVL,East Asia & Pacific (excluding high income),,,78.1,22260874526758.1,4.96259956224176,10396.8255168912,,,,2141122258.0
4E,East Asia & Pacific (excluding high income),2023,,ST.INT.ARVL,East Asia & Pacific (excluding high income),,,75.9,21644107579563.1,5.25477821929519,10125.7668065643,,,75.8806830895266,2137527754.0
4E,East Asia & Pacific (excluding high income),2022,,ST.INT.ARVL,East Asia & Pacific (excluding high income),133.338264665834,,73.8,21563623056097.7,3.54537500425209,10106.8725194012,,510.485887004471,75.9325409436903,2133560408.0
4E,East Asia & Pacific (excluding high income),2021,,ST.INT.ARVL,East Asia & Pacific (excluding high income),133.025368143379,516080253.789,70.7,21231549654292.7,7.71979865885916,9974.63640001599,,514.728346249158,75.2781418410849,2128553744.0
4E,East Asia & Pacific (excluding high income),2020,,ST.INT.ARVL,East Asia & Pacific (excluding high income),132.732163470285,545598407.498,66.1,17805361735240.5,1.34528896450408,8391.36838432689,4.00452204911863,446.479702327493,75.6976393295064,2121866294.0
4E,East Asia & Pacific (excluding high income),2019,292842169.375777,ST.INT.ARVL,East Asia & Pacific (excluding high income),132.134925461608,1003476407.1326,60.1,17503362758566.8,5.8857935889594,8286.43967532333,3.83376188646399,414.609309647715,75.7689690321509,2112289891.0
